,horas_estudio_semanal,nota_anterior,tasa_asistencia,horas_sueno,edad,nivel_dificultad,horario_estudio_preferido,estilo_aprendizaje,nota_final,aprobado,tiene_tutor_No,tiene_tutor_Sí
0,0.3315614999182643,0.26900858505688824,0.8330022715789374,0.44594902985877616,0.6363636363636365,0.5,0.46312811664270903,1.0,0.7771428571428571,1.0,0.0,1.0
1,0.4184385000817356,0.7260815234751605,0.7931206931130264,0.10280726035680388,0.0,0.0,0.46312811664270903,0.0,0.5999999999999999,1.0,1.0,0.0
2,0.14628233672739635,0.862624203959834,0.6827950896371743,0.6258743475979688,0.6363636363636365,0.5,0.5610630834350037,1.0,0.7142857142857142,1.0,1.0,0.0
3,0.23530053320357122,0.7411179591008783,0.7856230089762466,0.765471033719268,0.45454545454545436,0.5,1.0,0.4659204042733567,0.6885714285714286,1.0,1.0,0.0
4,0.0,0.5179168415253854,0.43174918598244116,0.44530673284710376,0.2727272727272727,1.0,1.0,0.7585376091962521,0.5142857142857142,1.0,1.0,0.0
5,0.22532041744718498,0.6155588300499577,0.7473450406679382,0.7515526291613351,0.9999999999999998,0.0,0.5610630834350037,0.4659204042733567,0.5428571428571429,1.0,1.0,0.0
6,0.5173287097719036,0.8723999515384742,0.6474973971788887,0.09831123275768949,0.6363636363636365,0.5,0.5610630834350037,0.4659204042733567,0.6499999999999999,1.0,0.0,1.0
7,0.6348969749670849,0.9568562665035838,0.3926495622581295,0.5012783735524015,0.18181818181818188,0.5,0.0,0.4659204042733567,0.8042857142857143,1.0,0.0,1.0
8,0.13848245641980164,0.4586249569490444,0.5103120358701178,0.4106260669866689,0.2727272727272727,1.0,0.5610630834350037,0.4659204042733567,0.7828571428571427,1.0,1.0,0.0
9,0.2886944034303634,0.5975703774934853,1.0,0.586038414736768,0.45454545454545436,1.0,0.0,0.4659204042733567,0.5542857142857143,1.0,0.0,1.0
10,0.4828729738588265,0.4511441941347158,0.5587691708103274,0.5012783735524015,0.909090909090909,1.0,1.0,0.4659204042733567,0.5414285714285716,1.0,0.0,1.0
11,0.31702048175712594,0.3778641523666724,0.5500959272325741,0.6462459690047301,0.5454545454545452,0.0,0.0,0.4659204042733567,0.3557142857142857,0.0,0.0,1.0
12,0.5043956100071039,0.8241575180644605,0.47367829958822594,0.5012783735524015,0.2727272727272727,0.0,0.46312811664270903,1.0,0.7485714285714287,1.0,1.0,0.0
13,0.05119383194071236,0.28424275729983867,0.7116881323875961,0.5012783735524015,0.2727272727272727,1.0,0.46312811664270903,0.4659204042733567,0.42,0.0,1.0,0.0
14,0.28526514598011293,0.2453874877015973,0.6153125247107424,0.12550085029866553,0.5454545454545452,1.0,0.46312811664270903,0.6358220473114296,0.47714285714285715,1.0,1.0,0.0
15,0.1217974901458801,0.36196716572670046,0.4852079564101105,0.43042457810855106,0.45454545454545436,1.0,0.46312811664270903,0.4659204042733567,0.6171428571428572,1.0,1.0,0.0
16,0.21002420642970163,0.6836150742876392,0.9713210522962381,0.35745977340577084,0.909090909090909,0.5,0.46312811664270903,1.0,0.812857142857143,1.0,1.0,0.0
17,0.46473485401988684,0.7609841376530357,0.7596874752892577,0.2968364802125757,0.6363636363636365,0.0,0.5610630834350037,1.0,0.6828571428571428,1.0,0.0,1.0
18,0.39410664989276595,0.6013664926175417,0.46727797010326766,0.3071375811175905,0.0,1.0,0.0,0.6358220473114296,0.6142857142857143,1.0,1.0,0.0
19,0.5703745350063146,0.8037561051912587,0.9209774853152635,0.49780447654310145,0.8181818181818181,0.5,0.46312811664270903,0.6358220473114296,0.7785714285714285,1.0,1.0,0.0
20,0.5385491770576859,0.9081328209093376,0.7695558545038508,0.7022920435898895,0.909090909090909,1.0,0.46312811664270903,0.4659204042733567,0.8671428571428572,1.0,0.0,1.0
21,0.366372374712366,0.5033608013904798,0.601461585263232,0.02618517630344741,0.5454545454545452,0.5,1.0,1.0,0.48428571428571426,1.0,1.0,0.0
22,0.8270195967032103,0.543118637808276,1.0,0.5940706859461561,0.9999999999999998,1.0,0.46312811664270903,1.0,0.77,1.0,0.0,1.0
23,0.546494085612206,0.364552791375982,0.4772734123384217,0.5317631083552813,0.5454545454545452,1.0,0.0,1.0,0.5142857142857142,1.0,0.0,1.0
24,0.052931808725707,0.653794592665937,0.8256342175872438,0.5840444685585479,0.909090909090909,1.0,0.46312811664270903,0.6358220473114296,0.37714285714285717,0.0,1.0,0.0
25,0.00027862978818197354,0.14779788020171442,0.3186826596382851,0.6237427396166092,0.5454545454545452,0.0,0.0,0.0,0.3428571428571428,0.0,1.0,0.0
26,0.6676110639957389,0.7267799726309958,0.6878136422587814,0.6202098551667029,0.5454545454545452,0.5,0.5610630834350037,1.0,0.8799999999999999,1.0,0.0,1.0
27,0.0837840564643533,0.14393479196547238,0.4626165348519534,0.5927254378222743,0.8181818181818181,1.0,0.0,0.4659204042733567,0.5271428571428571,1.0,1.0,0.0
28,0.5294557508002362,0.525649403107608,0.30511045346446586,0.26457504456532677,0.8181818181818181,1.0,1.0,0.7585376091962521,0.6457142857142857,1.0,0.0,1.0
29,0.36166109947127817,0.34102717681676303,0.40248076867615,0.8091630603799768,0.6363636363636365,1.0,0.5610630834350037,0.4659204042733567,0.5342857142857143,1.0,0.0,1.0
30,0.43952969407052705,0.5101139423382319,0.5095047236888188,0.41728185706839527,0.7272727272727273,1.0,0.5610630834350037,1.0,0.6242857142857143,1.0,0.0,1.0
31,0.48108375913837514,0.9177025981102525,0.7525223562931367,0.08145355602233828,0.7272727272727273,1.0,0.46312811664270903,0.4659204042733567,0.5785714285714285,1.0,0.0,1.0
32,0.48347114470260727,0.9009338392582964,1.0,0.3203845009366221,0.09090909090909083,1.0,0.0,0.4659204042733567,0.6385714285714286,1.0,0.0,1.0
33,0.11396091137495992,0.5555527269011318,0.968944050182504,0.2076498338705769,0.5454545454545452,0.5,0.46312811664270903,0.7585376091962521,0.5999999999999999,1.0,1.0,0.0
34,0.5357186824020079,0.6643175641668118,0.8412561258012674,0.7494799147434502,0.5454545454545452,0.0,0.46312811664270903,0.6358220473114296,0.6814285714285715,1.0,0.0,1.0
35,0.319190881753323,0.5657823589874695,0.8863304109886696,0.3633249019010055,0.2727272727272727,1.0,0.5610630834350037,0.7585376091962521,0.4985714285714286,1.0,1.0,0.0
36,0.3411349175098698,0.36369427699153384,0.4410973957831825,0.5012783735524015,0.7272727272727273,1.0,1.0,0.4659204042733567,0.52,1.0,1.0,0.0
37,0.09959461648818735,0.5447449929821999,0.4895290477156421,0.5012783735524015,0.6363636363636365,0.5,0.46312811664270903,0.4659204042733567,0.5214285714285714,1.0,1.0,0.0
38,0.38572083752013103,0.8375844083850361,0.6896955234568986,0.3236175045406521,0.9999999999999998,0.5,0.0,0.6358220473114296,0.9642857142857142,1.0,0.0,1.0
39,0.18523481895096874,0.46108786069456636,0.6758910688073683,0.6747770219458066,0.0,1.0,0.46312811664270903,1.0,0.6599999999999999,1.0,1.0,0.0
40,0.2246429632880382,0.3448246397751044,0.8761660673682761,0.2933255675404255,0.09090909090909083,0.0,0.0,0.6358220473114296,0.6142857142857143,1.0,1.0,0.0
